Virus	Human	Weight
P0DTC1	A0FGR8	19.24
P0DTC1	A1L0T0	13.14
P0DTC1	O00116	11.59
P0DTC1	O00231	18.06
P0DTC1	O00232	18.06
P0DTC1	O00264	24.09
P0DTC1	O00303	12.37
P0DTC1	O00410	38.45
P0DTC1	O00459	20.85
P0DTC1	O00487	18.06
P0DTC1	O00571	12.37
P0DTC1	O00743	14.15
P0DTC1	O00767	15.88
P0DTC1	O14641	10.49
P0DTC1	O14654	13.83
P0DTC1	O14735	23.94
P0DTC1	O14744	15.17
P0DTC1	O14828	29.56
P0DTC1	O14907	10.66
P0DTC1	O14925	12.87
P0DTC1	O14981	11.59
P0DTC1	O15226	11.71
P0DTC1	O15260	12.46
P0DTC1	O15269	27.72
P0DTC1	O15294	17.51
P0DTC1	O15355	14.33
P0DTC1	O15427	12.01
P0DTC1	O43242	17.61
P0DTC1	O43251	17.28
P0DTC1	O43264	18.39
P0DTC1	O43324	13.02
P0DTC1	O43390	19.72
P0DTC1	O43617	17.89
P0DTC1	O60506	14.78
P0DTC1	O60701	12.01
P0DTC1	O60725	12.51
P0DTC1	O60884	12.37
P0DTC1	O75190	12.58
P0DTC1	O75348	12.35
P0DTC1	O75369	13.88
P0DTC1	O75419	28.31
P0DTC1	O75533	12.37
P0DTC1	O75569	18.2
P0DTC1	O75643	17.23
P0DTC1	O75688	21.86
P0DTC1	O75794	13.88
P0DTC1	O75844	23.24
P0DTC1	O75964	12.01
P0DTC1	O76071	12.51
P0DTC1	O94905	14.33
P0DTC1	O94906	24.17
P0DTC1	O95071	23.15
P0DTC1	O95347	12.19
P0DTC1	O95373	12.51
P0DTC1	O95573	17.15
P0DTC1	O95639	16.8
P0DTC1	O95757	12.01
P0DTC1	O95793	19.35
P0DTC1	O95816	20.31
P0DTC1	O95817	19.32
P0DTC1	O96008	12.37
P0DTC1	P00403	13.08
P0DTC1	P00533	12.01
P0DTC1	P01889	23.94
P0DTC1	P02511	13.7
P0DTC1	P02786	12.96
P0DTC1	P04181	12.09
P0DTC1	P04264	12.01
P0DTC1	P04350	12.37
P0DTC1	P04637	12.69
P0DTC1	P04792	19.32
P0DTC1	P04843	19.89
P0DTC1	P04844	14.56
P0DTC1	P04899	12.37
P0DTC1	P05023	14.33
P0DTC1	P05141	16.26
P0DTC1	P05198	12.01
P0DTC1	P05386	18.64
P0DTC1	P05387	14.91
P0DTC1	P05388	16.1
P0DTC1	P05556	10.22
P0DTC1	P06493	12.37
P0DTC1	P06576	14.93
P0DTC1	P06703	15.38
P0DTC1	P06733	18.99
P0DTC1	P06748	15.51
P0DTC1	P07237	22.43
P0DTC1	P07355	27.33
P0DTC1	P07437	27.42
P0DTC1	P07814	12.01
P0DTC1	P07900	15.29
P0DTC1	P07910	14.55
P0DTC1	P08195	30.19
P0DTC1	P08237	11.59
P0DTC1	P08238	15.29
P0DTC1	P08574	15.28
P0DTC1	P08729	13.73
P0DTC1	P08865	17.43
P0DTC1	P09651	20.69
P0DTC1	P0DI81	11.59
P0DTC1	P0DMV8	20.73
P0DTC1	P10809	22.24
P0DTC1	P11021	12.37
P0DTC1	P11142	24.82
P0DTC1	P11166	12.96
P0DTC1	P11940	26.21
P0DTC1	P12004	20.39
P0DTC1	P12236	26.97
P0DTC1	P13010	12.37
P0DTC1	P13639	15.29
P0DTC1	P13674	17.95
P0DTC1	P14618	12.01
P0DTC1	P14625	15.28
P0DTC1	P14678	17.47
P0DTC1	P14866	13.74
P0DTC1	P14868	15.43
P0DTC1	P15822	12.35
P0DTC1	P15880	22.24
P0DTC1	P16403	11.81
P0DTC1	P16520	12.19
P0DTC1	P16615	17.76
P0DTC1	P17812	14.83
P0DTC1	P17858	12.46
P0DTC1	P17980	12.37
P0DTC1	P17987	18.96
P0DTC1	P18085	12.96
P0DTC1	P18124	15.72
P0DTC1	P18583	10.66
P0DTC1	P18621	22.67
P0DTC1	P19338	22.99
P0DTC1	P19387	10.96
P0DTC1	P21333	12.59
P0DTC1	P21796	17.28
P0DTC1	P21912	12.63
P0DTC1	P21964	10.22
P0DTC1	P22392	12.01
P0DTC1	P22626	13.74
P0DTC1	P23396	25.5
P0DTC1	P23458	15.05
P0DTC1	P23528	15.29
P0DTC1	P23588	12.59
P0DTC1	P25205	14.84
P0DTC1	P25398	18.17
P0DTC1	P25705	12.37
P0DTC1	P25789	12.37
P0DTC1	P26373	21.86
P0DTC1	P26641	18.18
P0DTC1	P27348	22.85
P0DTC1	P27797	15.38
P0DTC1	P27816	10.05
P0DTC1	P27824	15.88
P0DTC1	P27986	15.67
P0DTC1	P29692	17.19
P0DTC1	P30050	22.67
P0DTC1	P30153	19.32
P0DTC1	P31689	12.37
P0DTC1	P31943	25.5
P0DTC1	P31946	16.26
P0DTC1	P33993	18.71
P0DTC1	P34931	10.3
P0DTC1	P35232	14.83
P0DTC1	P35268	11.91
P0DTC1	P35527	12.01
P0DTC1	P35606	15.28
P0DTC1	P35998	14.69
P0DTC1	P36542	12.82
P0DTC1	P36578	15.72
P0DTC1	P38159	16.32
P0DTC1	P38606	17.89
P0DTC1	P38646	19.32
P0DTC1	P39019	30.11
P0DTC1	P39023	15.72
P0DTC1	P39656	12.01
P0DTC1	P40227	19.32
P0DTC1	P40429	17.83
P0DTC1	P40616	12.01
P0DTC1	P40855	11.59
P0DTC1	P40937	11.9
P0DTC1	P40938	26.6
P0DTC1	P41252	12.01
P0DTC1	P42166	11.59
P0DTC1	P42167	11.9
P0DTC1	P42677	12.37
P0DTC1	P42704	14.71
P0DTC1	P42766	15.36
P0DTC1	P43243	18.85
P0DTC1	P43307	23.94
P0DTC1	P43487	17.89
P0DTC1	P43686	16.88
P0DTC1	P45880	12.01
P0DTC1	P45984	10.94
P0DTC1	P46734	12.01
P0DTC1	P46776	13.18
P0DTC1	P46778	16.1
P0DTC1	P46779	25.59
P0DTC1	P46781	19.81
P0DTC1	P46782	15.29
P0DTC1	P46783	16.1
P0DTC1	P46821	10.05
P0DTC1	P46977	29.4
P0DTC1	P47897	15.62
P0DTC1	P48047	13.47
P0DTC1	P48444	12.96
P0DTC1	P48553	13.91
P0DTC1	P48643	27.2
P0DTC1	P49368	19.41
P0DTC1	P49411	19.32
P0DTC1	P49589	10.66
P0DTC1	P49756	10.96
P0DTC1	P49770	17.89
P0DTC1	P50213	12.01
P0DTC1	P50402	14.83
P0DTC1	P50454	12.96
P0DTC1	P50914	22.67
P0DTC1	P50990	18.96
P0DTC1	P50991	19.32
P0DTC1	P51148	15.28
P0DTC1	P51398	10.58
P0DTC1	P51571	14.83
P0DTC1	P51617	20.75
P0DTC1	P51648	22.06
P0DTC1	P51659	13.82
P0DTC1	P51665	12.82
P0DTC1	P51991	10.49
P0DTC1	P52272	14.91
P0DTC1	P52292	16.37
P0DTC1	P52597	18.55
P0DTC1	P52701	15.01
P0DTC1	P52732	21.86
P0DTC1	P53007	33
P0DTC1	P53618	17.25
P0DTC1	P53621	15.28
P0DTC1	P54105	12.37
P0DTC1	P54136	15.01
P0DTC1	P55010	11.59
P0DTC1	P55060	12.01
P0DTC1	P55084	28.93
P0DTC1	P55209	19.32
P0DTC1	P55265	15.08
P0DTC1	P56182	15.57
P0DTC1	P57088	12.37
P0DTC1	P57740	28.31
P0DTC1	P60468	19.82
P0DTC1	P60604	10.22
P0DTC1	P60660	15.29
P0DTC1	P60709	12.37
P0DTC1	P60842	14.69
P0DTC1	P60866	15.72
P0DTC1	P60891	12.01
P0DTC1	P60903	15.65
P0DTC1	P60953	14.33
P0DTC1	P61247	24.78
P0DTC1	P61313	22.67
P0DTC1	P61353	14.91
P0DTC1	P61619	15.88
P0DTC1	P61962	18.73
P0DTC1	P61978	20.69
P0DTC1	P62081	12.37
P0DTC1	P62241	14.91
P0DTC1	P62244	29.3
P0DTC1	P62249	22.67
P0DTC1	P62258	15.9
P0DTC1	P62263	21.86
P0DTC1	P62266	14.91
P0DTC1	P62269	25.5
P0DTC1	P62277	26.47
P0DTC1	P62280	13.4
P0DTC1	P62304	12.01
P0DTC1	P62306	14.93
P0DTC1	P62314	12.37
